PWVmidTim,Tdelay
20110101/0015,2101.0
20110101/0045,2100.3
20110101/0115,2105.5
20110101/0145,2106.2
20110101/0215,2104.4
20110101/0245,2105.0
20110101/0315,2101.2
20110101/0345,2099.1
20110101/0415,2104.3
20110101/0445,2106.7
20110101/0515,2105.1
20110101/0545,2105.3
20110101/0615,2108.9
20110101/0645,2110.3
20110101/0715,2107.3
20110101/0745,2109.3
20110101/0815,2102.1
20110101/0845,2096.8
20110101/0915,2108.2
20110101/0945,2113.9
20110101/1015,2110.0
20110101/1045,2106.0
20110101/1115,2108.5
20110101/1145,2109.0
20110101/1215,2105.1
20110101/1245,2102.4
20110101/1315,2103.3
20110101/1345,2105.0
20110101/1415,2102.9
20110101/1445,2099.5
20110101/1515,2096.1
20110101/1545,2096.3
20110101/1615,2097.5
20110101/1645,2099.5
20110101/1715,2101.6
20110101/1745,2101.9
20110101/1815,2105.6
20110101/1845,2102.5
20110101/1915,2098.9
20110101/1945,2100.2
20110101/2015,2099.4
20110101/2045,2100.1
20110101/2115,2101.7
20110101/2145,2101.9
20110101/2215,2102.3
20110101/2245,2103.6
20110101/2315,2099.9
20110102/0015,2092.8
20110102/0045,2090.2
20110102/0115,2097.8
20110102/0145,2097.3
20110102/0215,2096.4
20110102/0245,2097.8
20110102/0315,2094.5
20110102/0345,2089.7
20110102/0415,2094.0
20110102/0445,2098.6
20110102/0515,2096.1
20110102/0545,2099.4
20110102/0615,2102.8
20110102/0645,2101.2
20110102/0715,2101.2
20110102/0745,2103.0
20110102/0815,2103.8
20110102/0845,2102.0
20110102/0915,2099.6
20110102/0945,2102.2
20110102/1015,2104.4
20110102/1045,2102.9
20110102/1115,2102.5
20110102/1145,2101.5
20110102/1215,2100.5
20110102/1245,2103.8
20110102/1315,2102.8
20110102/1345,2099.9
20110102/1415,2101.1
20110102/1445,2097.9
20110102/1515,2095.7
20110102/1545,2099.9
20110102/1615,2109.2
20110102/1645,2120.7
20110102/1715,2127.7
20110102/1745,2132.2
20110102/1815,2139.0
20110102/1845,2139.6
20110102/1915,2137.1
20110102/1945,2137.0
20110102/2015,2138.4
20110102/2045,2139.4
20110102/2115,2139.7
20110102/2145,2140.6
20110102/2215,2140.1
20110102/2245,2144.4
20110102/2315,2141.9
20110103/0015,2143.2
20110103/0045,2140.3
20110103/0115,2139.9
20110103/0145,2140.6
20110103/0215,2141.1
20110103/0245,2137.4
20110103/0315,2134.8
20110103/0345,2137.1
20110103/0415,2135.6
20110103/0445,2137.0
20110103/0515,2138.5
20110103/0545,2136.0
20110103/0615,2138.0
20110103/0645,2143.2
20110103/0715,2141.9
20110103/0745,2144.9
20110103/0815,2148.7
20110103/0845,2145.4
20110103/0915,2144.1
20110103/0945,2144.4
20110103/1015,2144.2
20110103/1045,2141.6
20110103/1115,2141.3
20110103/1145,2145.3
20110103/1215,2146.8
20110103/1245,2142.5
20110103/1315,2141.1
20110103/1345,2146.0
20110103/1415,2145.8
20110103/1445,2140.3
20110103/1515,2142.9
20110103/1545,2145.6
20110103/1615,2143.5
20110103/1645,2147.3
20110103/1715,2149.4
20110103/1745,2147.4
20110103/1815,2150.0
20110103/1845,2152.1
20110103/1915,2150.8
20110103/1945,2148.0
20110103/2015,2148.8
20110103/2045,2153.6
20110103/2115,2152.3
20110103/2145,2148.9
20110103/2215,2150.3
20110103/2245,2151.2
20110103/2315,2147.9
20110104/0015,2148.3
20110104/0045,2148.3
20110104/0115,2148.8
20110104/0145,2148.6
20110104/0215,2144.9
20110104/0245,2142.9
20110104/0315,2145.0
20110104/0345,2144.6
20110104/0415,2145.0
20110104/0445,2145.5
20110104/0515,2144.7
20110104/0545,2145.6
20110104/0615,2146.2
20110104/0645,2142.1
20110104/0715,2137.6
20110104/0745,2140.6
20110104/0815,2140.1
20110104/0845,2141.4
20110104/0915,2142.1
20110104/0945,2138.8
20110104/1015,2138.9
20110104/1045,2136.4
20110104/1115,2139.1
20110104/1145,2146.0
20110104/1215,2139.5
20110104/1245,2135.4
20110104/1315,2138.9
20110104/1345,2136.7
20110104/1415,2134.9
20110104/1445,2133.4
20110104/1515,2135.1
20110104/1545,2137.2
20110104/1615,2136.3
20110104/1645,2138.7
20110104/1715,2141.3
20110104/1745,2136.3
20110104/1815,2132.9
20110104/1845,2134.2
20110104/1915,2137.7
20110104/1945,2139.0
20110104/2015,2136.3
20110104/2045,2134.2
20110104/2115,2130.7
20110104/2145,2131.0
20110104/2215,2131.3
20110104/2245,2128.4
20110104/2315,2129.7
20110105/0015,2128.5
20110105/0045,2129.8
20110105/0115,2126.5
20110105/0145,2125.0
20110105/0215,2128.0
20110105/0245,2128.0
20110105/0315,2128.8
20110105/0345,2130.6
20110105/0415,2132.4
20110105/0445,2132.7
20110105/0515,2133.4
20110105/0545,2135.1
20110105/0615,2133.8
20110105/0645,2132.0
20110105/0715,2133.0
20110105/0745,2134.6
20110105/0815,2133.2
20110105/0845,2129.9
20110105/0915,2128.8
20110105/0945,2126.0
20110105/1015,2127.8
20110105/1045,2130.6
20110105/1115,2130.1
20110105/1145,2131.9
20110105/1215,2132.1
20110105/1245,2132.8
20110105/1315,2132.4
20110105/1345,2133.5
20110105/1415,2132.5
20110105/1445,2126.8
20110105/1515,2139.2
20110105/1545,2139.3
20110105/1615,2128.5
20110105/1645,2133.9
20110105/1715,2133.7
20110105/1745,2129.7
20110105/1815,2125.4
20110105/1845,2120.7
20110105/1915,2125.1
20110105/1945,2133.2
20110105/2015,2132.8
20110105/2045,2133.3
20110105/2115,2135.5
20110105/2145,2133.1
20110105/2215,2132.7
20110105/2245,2133.2
20110105/2315,2128.7
20110106/0015,2129.6
20110106/0045,2134.4
20110106/0115,2134.4
20110106/0145,2132.1
20110106/0215,2130.6
20110106/0245,2132.0
20110106/0315,2132.2
20110106/0345,2132.9
20110106/0415,2133.1
20110106/0445,2131.1
20110106/0515,2129.2
20110106/0545,2129.0
20110106/0615,2129.9
20110106/0645,2129.0
20110106/0715,2129.9
20110106/0745,2134.1
20110106/0815,2134.8
20110106/0845,2133.5
20110106/0915,2130.5
20110106/0945,2127.5
20110106/1015,2129.7
20110106/1045,2135.1
20110106/1115,2136.5
20110106/1145,2133.0
20110106/1215,2133.5
20110106/1245,2136.1
20110106/1315,2134.8
20110106/1345,2133.9
20110106/1415,2136.9
20110106/1445,2135.7
20110106/1515,2136.5
20110106/1545,2135.8
20110106/1615,2132.1
20110106/1645,2133.7
20110106/1715,2134.3
20110106/1745,2134.8
20110106/1815,2138.6
20110106/1845,2136.4
20110106/1915,2133.4
20110106/1945,2136.3
20110106/2015,2135.7
20110106/2045,2136.8
20110106/2115,2139.8
20110106/2145,2142.0
20110106/2215,2139.7
20110106/2245,2139.5
20110106/2315,2137.6
20110109/0015,2105.2
20110109/0045,2106.8
20110109/0115,2106.7
20110109/0145,2107.0
20110109/0215,2109.9
20110109/0245,2110.7
20110109/0315,2108.1
20110109/0345,2111.7
20110109/0415,2114.1
20110109/0445,2114.3
20110109/0515,2117.2
20110109/0545,2119.3
20110109/0615,2119.4
20110109/0645,2124.4
20110109/0715,2123.6
20110109/0745,2120.2
20110109/0815,2123.8
20110109/0845,2127.1
20110109/0915,2131.6
20110109/0945,2131.9
20110109/1015,2127.8
20110109/1045,2132.1
20110109/1115,2137.6
20110109/1145,2133.7
20110109/1215,2135.2
20110109/1245,2143.4
20110109/1315,2138.6
20110109/1345,2142.4
20110109/1415,2149.3
20110109/1445,2145.6
20110109/1515,2148.4
20110109/1545,2152.0
20110109/1615,2155.2
20110109/1645,2156.3
20110109/1715,2157.5
20110109/1745,2156.8
20110109/1815,2155.3
20110109/1845,2157.2
20110109/1915,2158.1
20110109/1945,2156.4
20110109/2015,2155.9
20110109/2045,2157.6
20110109/2115,2157.0
20110109/2145,2157.5
20110109/2215,2154.7
20110109/2245,2154.5
20110109/2315,2154.2
20110110/0015,2158.7
20110110/0045,2159.5
20110110/0115,2158.2
20110110/0145,2156.7
20110110/0215,2158.2
20110110/0245,2159.4
20110110/0315,2157.5
20110110/0345,2156.3
20110110/0415,2157.9
20110110/0445,2158.7
20110110/0515,2158.5
20110110/0545,2156.1
20110110/0615,2154.0
20110110/0645,2157.5
20110110/0715,2158.4
20110110/0745,2156.0
20110110/0815,2153.5
20110110/0845,2149.1
20110110/0915,2144.8
20110110/0945,2147.1
20110110/1015,2153.1
20110110/1045,2153.3
20110110/1115,2156.7
20110110/1145,2154.5
20110110/1215,2150.5
20110110/1245,2155.7
20110110/1315,2153.0
20110110/1345,2149.4
20110110/1415,2151.9
20110110/1445,2146.7
20110110/1515,2142.7
20110110/1545,2143.6
20110110/1615,2147.0
20110110/1645,2157.0
20110110/1715,2157.9
20110110/1745,2150.2
20110110/1815,2141.9
20110110/1845,2141.6
20110110/1915,2140.3
20110110/1945,2135.9
20110110/2015,2138.2
20110110/2045,2136.8
20110110/2115,2134.9
20110110/2145,2133.7
20110110/2215,2129.7
20110110/2245,2129.0
20110110/2315,2126.3
20110111/0015,2130.0
20110111/0045,2128.6
20110111/0115,2126.8
20110111/0145,2126.5
20110111/0215,2124.3
20110111/0245,2124.2
20110111/0315,2124.9
20110111/0345,2124.6
20110111/0415,2124.0
20110111/0445,2124.3
20110111/0515,2124.3
20110111/0545,2122.5
20110111/0615,2120.7
20110111/0645,2123.4
20110111/0715,2124.5
20110111/0745,2124.6
20110111/0815,2124.1
20110111/0845,2120.0
20110111/0915,2116.8
20110111/0945,2118.7
20110111/1015,2124.2
20110111/1045,2125.2
20110111/1115,2124.2
20110111/1145,2121.7
20110111/1215,2123.5
20110111/1245,2125.5
20110111/1315,2121.8
20110111/1345,2120.9
20110111/1415,2117.6
20110111/1445,2117.3
20110111/1515,2122.3
20110111/1545,2122.0
20110111/1615,2123.1
20110111/1645,2121.3
20110111/1715,2119.3
20110111/1745,2120.7
20110111/1815,2120.4
20110111/1845,2122.8
20110111/1915,2122.3
20110111/1945,2119.7
20110111/2015,2123.1
20110111/2045,2124.2
20110111/2115,2121.5
20110111/2145,2120.4
20110111/2215,2126.1
20110111/2245,2134.0
20110111/2315,2125.9
20110112/0015,2120.6
20110112/0045,2122.3
20110112/0115,2120.8
20110112/0145,2118.2
20110112/0215,2119.2
20110112/0245,2120.5
20110112/0315,2121.1
20110112/0345,2123.1
20110112/0415,2124.4
20110112/0445,2125.3
20110112/0515,2126.3
20110112/0545,2123.9
20110112/0615,2122.5
20110112/0645,2122.6
20110112/0715,2123.6
20110112/0745,2124.1
20110112/0815,2123.5
20110112/0845,2125.4
20110112/0915,2126.2
20110112/0945,2126.1
20110112/1015,2127.9
20110112/1045,2132.2
20110112/1115,2131.8
20110112/1145,2127.8
20110112/1215,2128.6
20110112/1245,2130.9
20110112/1315,2129.4
20110112/1345,2130.6
20110112/1415,2127.1
